Headings,Text,result,COMPONENT,CC_SEGMENT_IMAGES,TOOL,JOINT
2,"EVB-204< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY BATTERY JUNCTION BOX AND BATTE RY HARNESS : Exploded View  Service plug switch Service plug switch bracket High-voltage battery harness Bus bar nut cap Bus bar Bus bar nut cap Bus bar (integrated with noise filter) Battery junction box Harness bracket Vehicle communications harness Snap ring PTC heater harness connector JSCIA0761GB Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-205< UNIT DISASSEMBLY AND ASSEMBLY > PBus bar Layout DANGER:High-voltage harness connector Connector flange Seal Voltage detection harness Bus bar Battery current sensor (integrated  with bus bar) High-voltage battery harness : Always replace after every disas- sembly.: N·m (kg-m, in-lb) Revision: June 2014 2015 Leaf NAMEVB-206< UNIT DISASSEMBLY AND ASSEMBLY >LI-ION BATTERY Because there is a danger of electric shock and fire, never contact bus bar in a wrong terminal.",,"['Component - battery junction box', 'BATTE RY HARNESS', 'Component - service plug switch', 'Component - service plug switch bracket', 'Component - highvoltage battery harness', 'Component - bus bar', 'Component - bus bar', 'Component - bus bar', 'Component - bus bar', 'Component - battery junction box', 'Component - harness bracket', 'harness', 'Component - ptc heater harness connector', 'Component - ptc heater harness connector', 'Component - connector flange', 'Component - seal', 'Component - voltage detection harness', 'Component - bus bar', 'Component - battery current sensor integrate', 'Component - highvoltage battery harness', 'Component - highvoltage battery harness']","['img_0_7_CC_7.png', None, 'img_0_7_CC_2.png', 'img_0_7_CC_2.png', 'img_0_7_CC_1.png', 'img_0_7_CC_3.png', 'img_0_7_CC_3.png', 'img_0_7_CC_3.png', 'img_0_7_CC_3.png', 'img_0_7_CC_7.png', 'img_0_7_CC_9.png', None, 'img_0_7_CC_10.png', 'img_0_7_CC_10.png', 'img_0_7_CC_10.png', 'img_0_7_CC_10.png', 'img_0_7_CC_8.png', 'img_0_7_CC_3.png', 'img_0_7_CC_2.png', 'img_0_7_CC_1.png', 'img_0_7_CC_1.png']",[],[]
2,"BATTERY JUNCTION BOX AND BATTERY HA RNESS : Disassembly and Assembly DANGER:: Battery front JSCIA0874ZZ Revision: June 2014 2015 Leaf NAMLI-ION BATTERY EVB-207< UNIT DISASSEMBLY AND ASSEMBLY > PSince hybrid vehicles and electri c vehicles contain a high voltage battery, there is the risk of electric shock, electric leakage, or  similar accidents if the high vo ltage component and vehicle are handled incorrectly.",,"['Component - battery junction box', 'BATTERY HA RNESS', 'vehicles', 'vehicles', 'battery', 'vehicle']","['img_0_7_CC_7.png', None, None, None, None, None]",[],[]
2,Be sure to follow the correct work procedur es when performing inspection and maintenance.,,[],[],[],[]
4, • Be sure to remove the service plug in order to shut  off the high voltage circuits before performing inspection or maintenance of hi gh voltage system harnesses and parts.,,"['Component - remove service plug switch', 'harnesses']","['img_7_55.png', None]",[],[]
2,• Be sure to put the removed service plug in pocket and carry it or store it in a tool box or other con- tainer so that another person does not accident ally connect it while work is in progress.,,['Component - remove service plug switch'],['img_7_55.png'],[],[]
2,• Be sure to put on insulating protective gear be fore beginning work on the high voltage system.,,[],[],['insulating protective gear'],[]
2,• Clearly identify the persons responsible for high voltage work and ensure that other persons do not touch the vehicle.,,[],[],[],[]
2,"When not working, cover high vo ltage components with an anti-static cover sheet or similar item to prevent contact with other persons.",,[],[],[],[]
2,"• Refer to EVB-7, ""High Voltage Precautions"" .",,[],[],[],[]
2,"• If the battery pack is to be disassembled, be sure to remove the Li-ion battery controller for prevent- ing electric shock, fire, and damage to parts.",,"['Component - : battery front', 'Component - highvoltage battery harness']","['img_2_10.png', 'img_0_7_CC_1.png']",[],[]
